Commune,Code,Nom bibliothèque,Canton
Aurillac ,15012, Médiathèque du Bassin d'Aurillac, Aurillac
Ayrens ,15250, Bilbliothèque relais, Saint-Flour
Barriac les Bosquets ,15700, Relais lecture, Aurillac
Boisset ,15600, Bibliothèque relais, Murat
Brezons ,15230, Bibliothèque relais, Murat
Carlat ,15130, Relais lecture, Aurillac
Cassaniouze ,15340, Relais lecture, Mauriac
Chaliers ,15320, Relais lecture, Mauriac
Chalvignac ,15200, Relais lecture, Saint-Flour
Champagnac ,15350, Bibliothèque relais, Riom-ès-Montagnes
Champs sur Tarentaine Marchal ,15270, Médiathèque Léon Gerbe, Saint-Flour
Chaudes Aigues ,15110, Médiathèque, Mauriac
Chaussenac ,15700, Médiathèque, Riom-ès-Montagnes
Cheylade ,15400, mairie de cheylade, Riom-ès-Montagnes
Clavières ,15320, Relais lecture, Mauriac
Condat ,15190, Bibliothèque relais, Saint-Flour
Coren ,15100, Bibliothèque relais, Mauriac
Cussac ,15430, Relais lecture, Saint-Flour
Dienne ,15300, Relais lecture, Riom-ès-Montagnes
Fridefont ,15110, Relais lecture, Riom-ès-Montagnes
Glénat ,15150, Relais lecture, Murat
Junhac ,15120, Relais lecture, Aurillac
Lacapelle del Fraisse ,15120, Relais lecture, Aurillac
Lacapelle Viescamp ,15150, Relais lecture, Murat
Ladinhac ,15120, Relais lecture, Aurillac
Lafeuillade en Vézie ,15130, Relais lecture, Riom-ès-Montagnes
Lascelle ,15590, Relais lecture, Riom-ès-Montagnes
Laurie ,15500, Relais lecture, Aurillac
Laveissenet ,15300, Relais lecture, Riom-ès-Montagnes
Le Claux ,15400, Relais lecture, Riom-ès-Montagnes
Le Rouget Pers ,15290, Médiathèque, Saint-Flour
Les Ternes ,15100, Bibliothèque relais, Riom-ès-Montagnes
Leucamp ,15120, Relais lecture, Murat
Leynhac ,15600, Relais lecture, Riom-ès-Montagnes
Lieutadès ,15110, Relaislecture, Saint-Flour
Madic ,15210, Relais lecture, Riom-ès-Montagnes
Marcenat ,15190, Médiathèque, Aurillac
Marcolès ,15220, Relais lecture, Murat
Massiac ,15500, Médiathèque intercommunale, Mauriac
Mauriac ,15200, Médiathèque du Pays de Mauriac, Riom-ès-Montagnes
Maurines ,15110, Relais lecture, Maurs
Maurs ,15600, Médiathèque municipale, Riom-ès-Montagnes
Méallet ,15200, Relais lecture, Saint-Flour
Molèdes ,15500, Relais lecture, Saint-Flour
Molompize ,15500, Relais lecture, Riom-ès-Montagnes
Montsalvy ,15120, Médiathèque, Maurs
Mourjou ,15340, Médiathèque, Riom-ès-Montagnes
Moussages ,15380, Relais lecture, Murat
Naucelles ,15250, Bibliothèque Municipale, Murat
Parlan ,15290, Relais lecture, Mauriac
Polminhac ,15800, Bibliothèque Municipale de Polminhac, Riom-ès-Montagnes
Pradiers ,15160, Relais lecture, Murat
Puycapel ,15340, Relais lecture, Riom-ès-Montagnes
Rouffiac ,15150, Relais lecture, Murat
Roumégoux ,15290, Relais lecture, Murat
Saignes ,15240, Bibliothèque relais, Mauriac
Saint Bonnet de Salers ,15140, Relais lecture, Riom-ès-Montagnes
Saint Chamant ,15140, Relais lecture, Riom-ès-Montagnes
Saint Cirgues de Jordanne ,15590, Relais lecture, Saint-Flour
Saint Constant Fournoulès ,15600, Relais lecture, Saint-Flour
Saint Étienne de Chomeil ,15400, Relais lecture, Murat
Saint Flour ,15100, Médiathèque, Saint-Flour
Saint Illide ,15250, Relais Lecture, Saint-Flour
Saint Jacques des Blats ,15800, Relais lecture, Saint-Flour
Saint Martin Valmeroux ,15140, Médiatheque, Mauriac
Saint Poncy ,15500, Relais lecture, Maurs
Saint Projet de Salers ,15140, Relais lecture, Murat
Saint Santin Cantalès ,15150, relais lecture, Aurillac
Saint Urcize ,15110, Bibliothèque relais, Maurs
Sansac Veinazès ,15120, Relais lecture, Riom-ès-Montagnes
Siran ,15150, Relais lecture, Riom-ès-Montagnes
Talizat ,15170, Relais lecture, Riom-ès-Montagnes
Teissières lès Bouliès ,15130, Relais lecture, Mauriac
Vabres ,15100, Relais lecture, Riom-ès-Montagnes
