Commune,Code,Nom_bibliotheque,Canton
Aurillac,15012, MédiathèqueduBassind'Aurillac,Aurillac
Ayrens,15250, Bilbliothèquerelais,Saint-Flour
BarriaclesBosquets,15700, Relaislecture,Aurillac
Boisset,15600, Bibliothèquerelais,Murat
Brezons,15230, Bibliothèquerelais,Murat
Carlat,15130, Relaislecture,Aurillac
Cassaniouze,15340, Relaislecture,Mauriac
Chaliers,15320, Relaislecture,Mauriac
Chalvignac,15200, Relaislecture,Saint-Flour
Champagnac,15350, Bibliothèquerelais,Riom-ès-Montagnes
ChampssurTarentaineMarchal,15270, MédiathèqueLéonGerbe,Saint-Flour
ChaudesAigues,15110, Médiathèque,Mauriac
Chaussenac,15700, Médiathèque,Riom-ès-Montagnes
Cheylade,15400, mairiedecheylade,Riom-ès-Montagnes
Clavières,15320, Relaislecture,Mauriac
Condat,15190, Bibliothèquerelais,Saint-Flour
Coren,15100, Bibliothèquerelais,Mauriac
Cussac,15430, Relaislecture,Saint-Flour
Dienne,15300, Relaislecture,Riom-ès-Montagnes
Fridefont,15110, Relaislecture,Riom-ès-Montagnes
Glénat,15150, Relaislecture,Murat
Junhac,15120, Relaislecture,Aurillac
LacapelledelFraisse,15120, Relaislecture,Aurillac
LacapelleViescamp,15150, Relaislecture,Murat
Ladinhac,15120, Relaislecture,Aurillac
LafeuilladeenVézie,15130, Relaislecture,Riom-ès-Montagnes
Lascelle,15590, Relaislecture,Riom-ès-Montagnes
Laurie,15500, Relaislecture,Aurillac
Laveissenet,15300, Relaislecture,Riom-ès-Montagnes
LeClaux,15400, Relaislecture,Riom-ès-Montagnes
LeRougetPers,15290, Médiathèque,Saint-Flour
LesTernes,15100, Bibliothèquerelais,Riom-ès-Montagnes
Leucamp,15120, Relaislecture,Murat
Leynhac,15600, Relaislecture,Riom-ès-Montagnes
Lieutadès,15110, Relaislecture,Saint-Flour
Madic,15210, Relaislecture,Riom-ès-Montagnes
Marcenat,15190, Médiathèque,Aurillac
Marcolès,15220, Relaislecture,Murat
Massiac,15500, Médiathèqueintercommunale,Mauriac
Mauriac,15200, MédiathèqueduPaysdeMauriac,Riom-ès-Montagnes
Maurines,15110, Relaislecture,Maurs
Maurs,15600, Médiathèquemunicipale,Riom-ès-Montagnes
Méallet,15200, Relaislecture,Saint-Flour
Molèdes,15500, Relaislecture,Saint-Flour
Molompize,15500, Relaislecture,Riom-ès-Montagnes
Montsalvy,15120, Médiathèque,Maurs
Mourjou,15340, Médiathèque,Riom-ès-Montagnes
Moussages,15380, Relaislecture,Murat
Naucelles,15250, BibliothèqueMunicipale,Murat
Parlan,15290, Relaislecture,Mauriac
Polminhac,15800, BibliothèqueMunicipaledePolminhac,Riom-ès-Montagnes
Pradiers,15160, Relaislecture,Murat
Puycapel,15340, Relaislecture,Riom-ès-Montagnes
Rouffiac,15150, Relaislecture,Murat
Roumégoux,15290, Relaislecture,Murat
Saignes,15240, Bibliothèquerelais,Mauriac
SaintBonnetdeSalers,15140, Relaislecture,Riom-ès-Montagnes
SaintChamant,15140, Relaislecture,Riom-ès-Montagnes
SaintCirguesdeJordanne,15590, Relaislecture,Saint-Flour
SaintConstantFournoulès,15600, Relaislecture,Saint-Flour
SaintÉtiennedeChomeil,15400, Relaislecture,Murat
SaintFlour,15100, Médiathèque,Saint-Flour
SaintIllide,15250, RelaisLecture,Saint-Flour
SaintJacquesdesBlats,15800, Relaislecture,Saint-Flour
SaintMartinValmeroux,15140, Médiatheque,Mauriac
SaintPoncy,15500, Relaislecture,Maurs
SaintProjetdeSalers,15140, Relaislecture,Murat
SaintSantinCantalès,15150, relaislecture,Aurillac
SaintUrcize,15110, Bibliothèquerelais,Maurs
SansacVeinazès,15120, Relaislecture,Riom-ès-Montagnes
Siran,15150, Relaislecture,Riom-ès-Montagnes
Talizat,15170, Relaislecture,Riom-ès-Montagnes
TeissièreslèsBouliès,15130, Relaislecture,Mauriac
Vabres,15100, Relaislecture,Riom-ès-Montagnes
