Commune,Code,Nom_bibliotheque,Cantons
Aurillac,15012,Mediatheque du Bassin d Aurillac,Canton de Aurillac
Ayrens,15250,Bilbliotheque relais,Canton de Saint-Flour
Barriac les Bosquets,15700,Relais lecture,Canton de Aurillac
Boisset,15600,Bibliotheque relais,Canton de Murat
Brezons,15230,Bibliotheque relais,Canton de Murat
Carlat,15130,Relais lecture,Canton de Aurillac
Cassaniouze,15340,Relais lecture,Canton de Mauriac
Chaliers,15320,Relais lecture,Canton de Mauriac
Chalvignac,15200,Relais lecture,Canton de Saint-Flour
Champagnac,15350,Bibliotheque relais,Canton de Riom-es-Montagnes
Champs sur Tarentaine Marchal,15270,Mediatheque Leon Gerbe,Canton de  Saint-Flour
Chaudes Aigues,15110,Mediatheque,Canton de Mauriac
Chaussenac,15700,Mediatheque,Canton de Riom-es-Montagnes
Cheylade,15400,Mairie de cheylade,Canton de Riom-es-Montagnes
Clavieres,15320,Relais lecture,Canton de Mauriac
Condat,15190,Bibliotheque relais,Canton de Saint-Flour
Coren,15100,Bibliotheque relais,Canton de Mauriac
Cussac,15430,Relais lecture,Canton de Saint-Flour
Dienne,15300,Relais lecture,Canton de Riom-es-Montagnes
Fridefont,15110,Relais lecture,Canton de Riom-es-Montagnes
Glenat,15150,Relais lecture,Canton de Murat
Junhac,15120,Relais lecture,Canton de Aurillac
Lacapelle del Fraisse,15120,Relais lecture,Canton de Aurillac
Lacapelle Viescamp,15150,Relais lecture,Canton de Murat
Ladinhac,15120,Relais lecture,Canton de Aurillac
Lafeuillade en Vezie,15130,Relais lecture,Canton de Riom-es-Montagnes
Lascelle,15590,Relais lecture,Canton de Riom-es-Montagnes
Laurie,15500,Relais lecture,Canton de Aurillac
Laveissenet,15300,Relais lecture,Canton de Riom-es-Montagnes
Le Claux,15400,Relais lecture,Canton de Riom-es-Montagnes
Le Rouget Pers,15290,Mediatheque,Canton de Saint-Flour
Les Ternes,15100,Bibliotheque relais,Canton de Riom-es-Montagnes
Leucamp,15120,Relais lecture,Canton de Murat
Leynhac,15600,Relais lecture,Canton de Riom-es-Montagnes
Lieutades,15110,Relaislecture,Canton de Saint-Flour
Madic,15210,Relais lecture,Canton de Riom-es-Montagnes
Marcenat,15190,Mediatheque,Canton de Aurillac
Marcoles,15220,Relais lecture,Canton de Murat
Massiac,15500,Mediatheque intercommunale,Canton de Mauriac
Mauriac,15200,Mediatheque du Pays de Mauriac,Canton de Riom-es-Montagnes
Maurines,15110,Relais lecture,Canton de Maurs
Maurs,15600,Mediatheque municipale,Canton de Riom-es-Montagnes
Meallet,15200,Relais lecture,Canton de Saint-Flour
Moledes,15500,Relais lecture,Canton de Saint-Flour
Molompize,15500,Relais lecture,Canton de Riom-es-Montagnes
Montsalvy,15120,Mediatheque,Canton de Maurs
Mourjou,15340,Mediatheque,Canton de Riom-es-Montagnes
Moussages,15380,Relais lecture,Canton de Murat
Naucelles,15250,Bibliotheque Municipale,Canton de Murat
Parlan,15290,Relais lecture,Canton de Mauriac
Polminhac,15800,Bibliotheque Municipale de Polminhac,Canton de Riom-es-Montagnes
Pradiers,15160,Relais lecture,Canton de Murat
Puycapel,15340,Relais lecture,Canton de Riom-es-Montagnes
Rouffiac,15150,Relais lecture,Canton de Murat
Roumegoux,15290,Relais lecture,Canton de Murat
Saignes,15240,Bibliotheque relais,Canton de Mauriac
Saint Bonnet de Salers,15140,Relais lecture,Canton de Riom-es-Montagnes
Saint Chamant,15140,Relais lecture,Canton de Riom-es-Montagnes
Saint Cirgues de Jordanne,15590,Relais lecture,Canton de Saint-Flour
Saint Constant Fournoules,15600,Relais lecture,Canton de Saint-Flour
Saint etienne de Chomeil,15400,Relais lecture,Canton de Murat
Saint Flour,15100,Mediatheque,Canton de Saint-Flour
Saint Illide,15250,Relais Lecture,Canton de Saint-Flour
Saint Jacques des Blats,15800,Relais lecture,Canton de Saint-Flour
Saint Martin Valmeroux,15140,Mediatheque,Canton de Mauriac
Saint Poncy,15500,Relais lecture,Canton de Maurs
Saint Projet de Salers,15140,Relais lecture,Canton de Murat
Saint Santin Cantales,15150,Relais lecture,Canton de Aurillac
Saint Urcize,15110,Bibliotheque relais,Canton de Maurs
Sansac Veinazes,15120,Relais lecture,Canton de Riom-es-Montagnes
Siran,15150,Relais lecture,Canton de Riom-es-Montagnes
Talizat,15170,Relais lecture,Canton de Riom-es-Montagnes
Teissieres les Boulies,15130,Relais lecture,Canton de Mauriac
Vabres,15100, Relais lecture,Canton de Riom-es-Montagnes
